Sensors' Acquisition [Hz]: Acc@52.0 Gyro@52.0 Mag@52.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ, GyroX [mdps], GyroY, GyroZ, MagX [mgauss], MagY, MagZ
00:01:25.930,,-24,-407,1053,-700,-2450,-1890,376,-769,-454
00:01:25.948,,-32,-411,1056,-2660,-3010,-1680,390,-762,-465
00:01:25.967,,-53,-407,1033,-4410,-7280,-1890,384,-763,-477
00:01:25.985,,-36,-428,1079,-1540,-7700,-1120,406,-762,-483
00:01:26.004,,-28,-421,1070,-3010,-5740,-1470,399,-768,-487
00:01:26.022,,-26,-433,1007,-6370,-7420,-2660,390,-750,-484
00:01:26.041,,-37,-437,978,-4690,-7070,-2660,381,-741,-495
00:01:26.059,,-54,-414,963,-1470,-5460,-2450,378,-745,-481
00:01:26.078,,-58,-410,943,-910,-4760,-2310,367,-742,-486
00:01:26.096,,-60,-403,920,-1050,-2800,-2450,360,-732,-483
00:01:26.115,,-58,-394,884,-2450,-2800,-2590,348,-733,-472
00:01:26.133,,-62,-383,866,-1610,-3220,-2030,337,-727,-469
00:01:26.152,,-28,-372,933,1470,-2800,-1540,337,-727,-468
00:01:26.170,,-22,-381,991,1610,-980,-1890,337,-727,-468
00:01:26.189,,-42,-403,983,-1400,-1750,-3080,324,-730,-457
00:01:26.207,,-57,-426,961,-2310,-1890,-3710,328,-733,-462
00:01:26.226,,-31,-409,989,-840,-1890,-2100,331,-736,-465
00:01:26.244,,-26,-402,971,-1260,-1330,-980,336,-735,-463
00:01:26.263,,-44,-377,941,-2240,-2520,-700,337,-735,-460
00:01:26.281,,-43,-398,976,-1890,-3640,-840,342,-739,-459
00:01:26.300,,-27,-413,1034,-1470,-2310,-700,342,-745,-456
00:01:26.318,,-25,-405,1011,-2520,-2660,-420,343,-738,-465
00:01:26.337,,-33,-403,979,-2520,-2800,-1050,349,-738,-459
00:01:26.355,,-38,-379,965,-2450,-2100,-1120,343,-741,-459
00:01:26.374,,-22,-366,958,-4060,-700,-770,340,-742,-462
00:01:26.392,,-33,-376,946,-5180,1750,70,343,-748,-451
00:01:26.411,,-35,-391,954,-4340,3010,70,348,-739,-454
00:01:26.429,,-46,-410,973,-3850,2590,-280,342,-750,-454
00:01:26.448,,-40,-412,1009,-2730,2800,-980,345,-744,-454
00:01:26.466,,-30,-408,1007,-3010,4550,-2030,343,-750,-456
00:01:26.485,,-30,-408,1007,-5670,5180,-2590,351,-742,-445
00:01:26.503,,-49,-413,970,-5670,5180,-2590,342,-747,-450
00:01:26.522,,-50,-423,957,-6300,3360,-2590,360,-750,-456
00:01:26.540,,-55,-411,963,-2310,3150,-1960,354,-753,-450
00:01:26.559,,-65,-387,953,-1190,3500,-2870,352,-756,-460
00:01:26.577,,-70,-406,936,-4900,1890,-3430,357,-759,-456
00:01:26.596,,-67,-421,927,-5460,140,-3780,366,-760,-463
00:01:26.614,,-59,-435,951,-2100,-840,-3500,366,-760,-463
00:01:26.633,,-38,-451,965,-770,-1400,-3220,373,-763,-466
00:01:26.651,,-49,-450,960,-1890,-910,-2800,375,-780,-478
00:01:26.670,,-76,-443,961,-1890,-1890,-1960,376,-771,-487
00:01:26.688,,-49,-418,1020,1750,-3360,-980,376,-766,-493
00:01:26.706,,-33,-413,1036,2170,-1400,-420,391,-751,-499
00:01:26.725,,-46,-409,992,-1330,-280,-980,369,-756,-498
