Sensors' Acquisition [Hz]: Acc@52.0 Gyro@52.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ, GyroX [mdps], GyroY, GyroZ
00:01:52.034,,-23,135,1016,-910,2240,-350
00:01:52.053,,-18,137,1016,-840,2030,-350
00:01:52.071,,-15,134,1013,-1050,2030,-280
00:01:52.090,,-14,130,1015,-1260,2240,-210
00:01:52.109,,-17,129,1016,-980,2520,-280
00:01:52.128,,-20,130,1016,-630,2520,-420
00:01:52.147,,-24,137,1018,-700,2450,-770
00:01:52.166,,-24,137,1020,-980,2380,-560
00:01:52.185,,-21,133,1017,-980,2170,-70
00:01:52.204,,-14,130,1013,-910,1960,350
00:01:52.223,,-12,131,1013,-1120,1960,210
00:01:52.242,,-13,128,1012,-1400,2170,-280
00:01:52.260,,-19,133,1011,-1120,2520,-280
00:01:52.279,,-24,141,1014,-1050,2520,0
00:01:52.298,,-20,134,1016,-1470,2380,140
00:01:52.317,,-17,130,1014,-980,2450,420
00:01:52.336,,-15,133,1014,-280,2590,700
00:01:52.355,,-20,133,1016,-840,2660,700
00:01:52.374,,-20,126,1017,-1750,2380,280
00:01:52.393,,-20,124,1015,-1610,2170,140
00:01:52.412,,-21,128,1016,-840,2170,70
00:01:52.430,,-22,133,1016,-490,2240,70
00:01:52.449,,-24,131,1013,-700,2100,0
00:01:52.468,,-22,128,1013,-980,1820,-140
00:01:52.487,,-19,125,1011,-840,1680,-210
00:01:52.506,,-20,128,1007,-490,1890,-280
00:01:52.525,,-20,129,1005,-560,2100,-560
00:01:52.544,,-22,132,1006,-840,2380,-770
00:01:52.563,,-20,130,1010,-910,2520,-840
00:01:52.582,,-20,131,1012,-560,2870,-700
00:01:52.600,,-20,133,1012,-420,3010,-630
00:01:52.619,,-22,135,1015,-700,3010,-770
00:01:52.638,,-23,132,1017,-1050,2800,-770
00:01:52.657,,-22,132,1015,-840,2660,-560
00:01:52.676,,-22,132,1016,-700,2590,-420
00:01:52.695,,-18,127,1016,-770,2380,-560
00:01:52.714,,-17,129,1013,-490,2380,-700
00:01:52.733,,-21,138,1011,-560,2380,-840
00:01:52.752,,-21,134,1015,-1190,2450,-910
00:01:52.770,,-24,133,1016,-980,2590,-700
00:01:52.789,,-24,137,1014,-630,2590,-350
00:01:52.808,,-24,135,1015,-910,2450,-280
00:01:52.827,,-21,130,1014,-1120,2170,-350
00:01:52.846,,-21,130,1010,-630,2100,-560
00:01:52.865,,-22,135,1010,-420,2100,-630
00:01:52.884,,-28,135,1013,-770,2030,-700
00:01:52.903,,-26,136,1009,-980,1890,-770
00:01:52.922,,-21,134,1006,-840,2030,-840
00:01:52.941,,-23,137,1012,-350,2590,-490
00:01:52.959,,-25,138,1013,-280,2800,-210
00:01:52.978,,-23,130,1011,-980,2590,-280
00:01:52.997,,-20,124,1014,-980,2450,-420
00:01:53.016,,-22,134,1013,-280,2450,-700
00:01:53.035,,-24,137,1013,-560,2310,-910
00:01:53.054,,-26,139,1015,-910,2170,-770
