Sensors' Acquisition [Hz]: Acc@52.0 Gyro@52.0 Mag@52.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ, GyroX [mdps], GyroY, GyroZ, MagX [mgauss], MagY, MagZ
10:45:23.335,,-133,-1,1071,4620,-840,2170,289,232,-300
10:45:23.354,,-133,-1,1071,4620,-840,2170,288,234,-307
10:45:23.373,,-132,-1,1073,1960,-630,1190,280,235,-316
10:45:23.392,,-123,-16,1079,-910,-840,-210,285,240,-312
10:45:23.410,,-117,-35,1082,-1750,-1330,-210,279,244,-310
10:45:23.429,,-113,-35,1090,-770,-1960,1470,277,240,-313
10:45:23.448,,-109,-23,1086,1050,-2590,3360,276,234,-309
10:45:23.467,,-107,0,1085,3220,-2450,4340,280,240,-303
10:45:23.485,,-101,14,1085,4130,-1330,3920,271,235,-309
10:45:23.504,,-102,12,1072,3850,700,2940,274,235,-309
10:45:23.523,,-103,4,1060,3430,3080,2380,276,234,-312
10:45:23.542,,-104,-4,1047,3290,4690,2170,277,238,-313
10:45:23.561,,-96,-5,1038,3290,5250,1820,277,228,-297
10:45:23.579,,-91,-9,1029,2800,5390,1610,279,237,-303
10:45:23.598,,-95,-4,1023,1960,5390,1680,268,235,-312
10:45:23.617,,-102,-2,1020,1120,4830,2450,273,237,-306
10:45:23.636,,-106,9,1024,1400,3360,3220,279,237,-310
10:45:23.654,,-106,30,1030,2450,1750,3150,276,243,-307
10:45:23.673,,-109,42,1026,2730,770,2240,276,234,-307
10:45:23.692,,-112,49,1029,2520,630,770,276,235,-310
10:45:23.711,,-116,48,1022,1680,980,-910,283,237,-306
10:45:23.729,,-125,39,1021,70,1400,-2520,285,244,-316
10:45:23.748,,-125,20,1026,-1260,910,-3780,282,244,-319
10:45:23.767,,-122,10,1022,-910,0,-4550,283,246,-319
10:45:23.786,,-125,8,1025,-210,-770,-4410,285,244,-319
10:45:23.805,,-131,0,1027,-420,-1470,-3990,282,237,-319
10:45:23.823,,-136,0,1033,-420,-2240,-3430,283,244,-336
10:45:23.842,,-137,5,1048,-490,-2940,-3290,285,249,-342
10:45:23.861,,-135,2,1044,-1190,-3360,-3360,295,249,-351
10:45:23.880,,-137,2,1049,-1190,-3290,-3080,295,249,-351
10:45:23.898,,-137,3,1055,-1330,-2870,-2800,288,253,-334
10:45:23.917,,-134,2,1054,-1540,-2380,-2450,292,252,-343
10:45:23.936,,-130,0,1051,-1680,-1680,-2170,288,252,-352
10:45:23.955,,-131,-1,1044,-1540,-840,-1960,291,252,-351
10:45:23.973,,-129,-5,1044,-1750,-420,-1540,285,258,-351
10:45:23.992,,-129,-9,1042,-1820,-420,-980,289,268,-351
