Sensors' Acquisition [Hz]: Acc@52.0 Gyro@52.0 Mag@52.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ, GyroX [mdps], GyroY, GyroZ, MagX [mgauss], MagY, MagZ
00:01:27.491,,29,120,1035,-15330,-41090,-53130,129,-319,-946
00:01:27.510,,31,122,1045,-71260,-213850,-218610,135,-319,-952
00:01:27.528,,31,122,1045,-71260,-213850,-218610,130,-318,-936
00:01:27.547,,35,127,1050,2520,-29400,-14770,133,-325,-942
00:01:27.566,,38,136,1048,-350,-3150,-700,132,-316,-946
00:01:27.584,,37,138,1045,-770,-2730,-420,129,-324,-942
00:01:27.603,,35,146,1040,-1190,-2240,-140,129,-319,-945
00:01:27.621,,35,145,1048,-1610,-2030,140,129,-316,-942
00:01:27.640,,35,149,1051,-1960,-2030,70,127,-318,-937
00:01:27.659,,32,153,1055,-2170,-1820,70,121,-321,-946
00:01:27.677,,32,154,1061,-2450,-1610,-70,132,-321,-948
00:01:27.696,,38,153,1060,-2450,-1400,-420,138,-318,-943
00:01:27.714,,40,156,1060,-2520,-840,-840,130,-327,-943
00:01:27.733,,42,149,1056,-2800,-490,-910,126,-319,-943
00:01:27.751,,36,153,1050,-2240,0,-560,127,-310,-943
00:01:27.770,,35,156,1049,-2100,350,-280,132,-319,-940
00:01:27.789,,34,151,1047,-2310,350,-560,130,-318,-940
00:01:27.807,,29,152,1051,-1610,70,-980,130,-318,-933
00:01:27.826,,34,147,1047,-1330,-700,-1400,135,-315,-942
00:01:27.844,,46,143,1045,-840,-980,-1540,135,-315,-942
00:01:27.863,,48,146,1046,-350,-980,-1330,133,-322,-943
00:01:27.882,,45,147,1043,-70,-490,-700,133,-319,-942
00:01:27.900,,44,155,1048,280,0,-210,129,-324,-939
00:01:27.919,,39,157,1051,70,0,-140,130,-325,-939
00:01:27.937,,38,150,1045,210,-280,-560,135,-324,-939
00:01:27.956,,36,155,1042,2030,-350,-980,130,-315,-940
00:01:27.975,,33,166,1044,2380,-560,-910,124,-321,-946
00:01:27.993,,35,161,1047,1540,-840,-980,124,-319,-940
00:01:28.012,,37,167,1043,980,-700,-1610,127,-319,-952
00:01:28.030,,40,160,1035,-490,-350,-2100,138,-319,-949
00:01:28.049,,33,154,1035,-1400,210,-1820,123,-315,-948
00:01:28.067,,27,156,1041,-1540,140,-1260,124,-322,-946
00:01:28.086,,25,158,1036,-1750,-420,-1260,130,-325,-945
00:01:28.105,,23,158,1033,-1750,-770,-1750,123,-318,-946
00:01:28.123,,23,154,1033,-1890,-1120,-2240,126,-313,-945
00:01:28.142,,28,152,1032,-2100,-1540,-2240,127,-324,-940
00:01:28.160,,32,150,1039,-2380,-1610,-1820,127,-324,-945
00:01:28.179,,34,151,1041,-3150,-1680,-1680,126,-318,-939
00:01:28.198,,30,147,1045,-3360,-1540,-1470,123,-322,-946
00:01:28.216,,28,150,1051,-2800,-1540,-1120,118,-319,-946
00:01:28.235,,32,157,1051,-2450,-1540,-980,121,-322,-943
00:01:28.253,,34,160,1049,-2520,-980,-840,115,-328,-949
00:01:28.272,,32,157,1051,-3080,-350,-630,130,-325,-951
00:01:28.290,,31,154,1054,-3010,0,-280,129,-319,-945
00:01:28.309,,31,159,1050,-2310,-70,-140,126,-318,-943
00:01:28.328,,28,164,1045,-1680,-350,-280,121,-318,-940
00:01:28.346,,31,166,1042,-1680,-490,-560,124,-313,-942
00:01:28.365,,33,166,1040,-1960,-280,-630,124,-316,-939
00:01:28.383,,32,165,1040,-2030,-140,-770,130,-316,-940
00:01:28.402,,29,164,1038,-2170,-350,-840,121,-315,-946
00:01:28.421,,29,161,1041,-1890,-700,-910,123,-312,-942
00:01:28.439,,30,162,1037,-1540,-1050,-1260,123,-312,-942
00:01:28.458,,32,163,1031,-1820,-1050,-1470,126,-319,-943
00:01:28.476,,32,159,1029,-2660,-840,-1470,127,-316,-943
00:01:28.495,,31,156,1027,-3430,-770,-1400,133,-309,-946
00:01:28.513,,31,151,1028,-3570,-1190,-1190,129,-318,-939
00:01:28.532,,27,158,1027,-3080,-1610,-1190,127,-318,-942
00:01:28.551,,24,162,1028,-3220,-2170,-1190,126,-312,-937
00:01:28.569,,24,156,1037,-3290,-2800,-1330,127,-310,-948
00:01:28.588,,27,157,1049,-2660,-3430,-1470,127,-318,-943
00:01:28.606,,34,158,1051,-2380,-3570,-1750,127,-318,-940
00:01:28.625,,38,154,1055,-2870,-2870,-1820,133,-315,-942
00:01:28.644,,38,147,1057,-3500,-2100,-1400,124,-321,-943
00:01:28.662,,34,151,1054,-3360,-1470,-910,126,-316,-943
00:01:28.681,,28,155,1051,-3290,-1120,-630,130,-318,-940
00:01:28.699,,27,155,1055,-3290,-1190,-630,127,-321,-937
00:01:28.718,,30,157,1048,-2940,-1400,-910,123,-321,-942
00:01:28.737,,31,161,1052,-2590,-1330,-910,124,-316,-939
00:01:28.755,,34,157,1059,-3010,-1400,-980,123,-322,-945
00:01:28.774,,37,154,1057,-2590,-1330,-1190,139,-322,-937
00:01:28.792,,38,158,1057,-2030,-910,-1260,129,-321,-939
00:01:28.811,,39,153,1057,-2310,-630,-1120,126,-324,-937
00:01:28.830,,40,149,1050,-2170,-560,-1120,126,-316,-940
00:01:28.848,,38,157,1041,-1610,-210,-910,132,-319,-943
00:01:28.867,,36,156,1040,-2170,-70,-840,130,-315,-931
00:01:28.885,,36,156,1040,-2170,-210,-840,126,-319,-942
00:01:28.904,,39,149,1038,-2520,-210,-840,135,-315,-945
00:01:28.922,,34,154,1041,-1750,-350,-700,129,-319,-945
00:01:28.941,,30,153,1044,-1470,-770,-630,126,-306,-943
00:01:28.960,,31,158,1047,-1120,-1120,-910,129,-310,-931
00:01:28.978,,32,159,1043,-1400,-1120,-1260,130,-319,-937
00:01:28.997,,32,154,1043,-1750,-840,-1330,120,-312,-946
00:01:29.015,,34,149,1043,-1820,-420,-1260,121,-325,-942
00:01:29.034,,32,149,1042,-2170,-210,-980,127,-313,-942
00:01:29.053,,31,147,1046,-2380,-490,-770,127,-313,-942
00:01:29.071,,32,149,1043,-2100,-770,-840,124,-313,-945
00:01:29.090,,32,155,1042,-2170,-770,-700,132,-321,-936
00:01:29.108,,31,157,1046,-2870,-490,-350,133,-313,-948
00:01:29.127,,34,156,1048,-3290,-210,-350,114,-318,-939
00:01:29.146,,32,155,1048,-3360,210,-420,126,-321,-939
00:01:29.164,,31,152,1051,-3080,210,-280,123,-313,-939
00:01:29.183,,28,156,1051,-2310,70,-140,123,-309,-939
00:01:29.201,,30,162,1055,-1820,-140,-210,123,-316,-943
00:01:29.220,,33,160,1052,-1890,-140,-350,129,-313,-943
00:01:29.238,,28,164,1053,-1540,210,-420,135,-321,-939
00:01:29.257,,31,159,1049,-1680,490,-560,127,-309,-943
00:01:29.276,,28,160,1046,-1540,560,-560,124,-315,-945
00:01:29.294,,26,158,1044,-1400,420,-350,123,-312,-939
00:01:29.313,,27,156,1045,-1190,420,-420,127,-310,-945
00:01:29.331,,26,152,1042,-1260,420,-630,132,-310,-943
00:01:29.350,,28,149,1044,-1470,350,-700,115,-309,-937
00:01:29.369,,29,148,1043,-1610,350,-560,124,-312,-946
00:01:29.387,,29,149,1044,-1680,490,-350,121,-301,-940
00:01:29.406,,25,155,1045,-1680,350,0,123,-312,-943
00:01:29.424,,23,155,1041,-1890,280,140,120,-310,-949
00:01:29.443,,21,160,1045,-1750,350,140,127,-312,-946
00:01:29.462,,23,160,1044,-2170,280,-140,120,-304,-948
00:01:29.480,,22,157,1045,-2450,140,-420,127,-319,-945
00:01:29.499,,25,156,1046,-2520,-210,-490,126,-301,-945
00:01:29.517,,30,158,1046,-2310,-420,-560,123,-306,-945
00:01:29.536,,27,162,1049,-2030,-280,-560,129,-309,-948
00:01:29.555,,25,162,1050,-1960,-350,-490,139,-307,-945
00:01:29.573,,26,167,1050,-1400,-210,-420,123,-304,-943
00:01:29.592,,25,171,1047,-1190,0,-630,127,-312,-948
00:01:29.610,,23,169,1038,-1540,70,-1050,124,-312,-939
00:01:29.629,,22,166,1037,-1750,350,-1050,130,-312,-946
00:01:29.648,,23,166,1036,-2240,140,-980,130,-312,-946
00:01:29.666,,19,166,1035,-2310,-140,-1260,126,-310,-936
00:01:29.685,,17,167,1039,-2030,-840,-1820,124,-316,-945
00:01:29.703,,21,163,1036,-1960,-1680,-2310,129,-313,-943
00:01:29.722,,23,165,1032,-1820,-1890,-2520,129,-304,-943
00:01:29.740,,24,161,1033,-2310,-1610,-2380,132,-313,-937
00:01:29.759,,21,156,1036,-2730,-1540,-2240,124,-309,-940
00:01:29.778,,19,156,1039,-2450,-1890,-2240,130,-307,-943
00:01:29.796,,17,157,1044,-2170,-2450,-2240,123,-313,-943
00:01:29.815,,20,157,1045,-2170,-2870,-2380,121,-309,-942
00:01:29.833,,22,159,1050,-2380,-2660,-2310,120,-312,-945
00:01:29.852,,25,154,1055,-3010,-2030,-2240,123,-309,-943
00:01:29.871,,25,152,1063,-3150,-1470,-1890,124,-313,-937
00:01:29.889,,27,153,1054,-3220,-910,-1610,126,-310,-936
00:01:29.908,,21,157,1050,-3080,-210,-1330,123,-310,-945
00:01:29.926,,20,157,1048,-3220,-70,-1190,124,-306,-942
00:01:29.945,,21,159,1044,-2870,-280,-1330,129,-313,-948
00:01:29.964,,20,163,1036,-2660,-490,-1470,133,-312,-940
00:01:29.982,,23,158,1037,-3220,-420,-1610,126,-309,-943
00:01:30.001,,24,151,1036,-3500,-420,-1610,121,-309,-946
00:01:30.019,,19,149,1035,-3220,-560,-1400,127,-313,-939
00:01:30.038,,18,147,1040,-3010,-1050,-1050,126,-309,-937
00:01:30.057,,18,151,1046,-2730,-1470,-770,135,-313,-943
00:01:30.075,,21,155,1052,-2520,-1750,-840,129,-310,-940
00:01:30.094,,21,157,1056,-2870,-1750,-1050,127,-313,-946
00:01:30.112,,25,152,1055,-3080,-1540,-1050,121,-306,-939
00:01:30.131,,23,155,1060,-2520,-840,-770,135,-312,-942
00:01:30.149,,23,156,1061,-2590,-560,-770,121,-312,-948
00:01:30.168,,21,156,1057,-2450,-350,-840,123,-315,-940
00:01:30.187,,18,158,1058,-2030,-350,-980,124,-312,-948
00:01:30.205,,21,158,1052,-1680,-560,-1190,126,-310,-951
00:01:30.224,,23,159,1045,-1400,-490,-1470,126,-306,-942
00:01:30.242,,22,158,1041,-1680,-350,-1470,121,-316,-940
00:01:30.261,,22,158,1041,-1680,-350,-1470,121,-316,-940
00:01:30.280,,24,155,1043,-2030,-210,-1190,130,-310,-940
00:01:30.298,,26,155,1040,-1960,-140,-1190,129,-313,-942
00:01:30.317,,20,158,1035,-1820,-70,-1190,127,-307,-939
00:01:30.335,,20,154,1035,-2030,-420,-1260,132,-309,-945
00:01:30.354,,21,158,1030,-1750,-770,-1330,123,-304,-942
00:01:30.373,,21,162,1028,-1960,-1050,-1470,130,-310,-954
00:01:30.391,,20,157,1031,-2870,-1330,-1540,132,-306,-943
00:01:30.410,,20,154,1036,-3010,-1680,-1470,118,-307,-940
00:01:30.428,,21,156,1046,-2520,-2100,-1330,136,-306,-948
00:01:30.447,,22,159,1053,-2310,-2520,-1540,123,-312,-942
00:01:30.466,,23,161,1054,-2380,-2380,-1750,114,-318,-949
00:01:30.484,,27,158,1057,-2660,-1890,-1750,135,-313,-940
00:01:30.503,,27,157,1057,-2870,-1050,-1610,124,-313,-951
00:01:30.521,,22,161,1058,-2800,-420,-1400,129,-313,-942
00:01:30.540,,17,161,1052,-2940,70,-1260,123,-312,-943
00:01:30.551,>gest1_still,,,,,,,,,
00:01:30.559,,17,163,1047,-2940,280,-1470,124,-307,-942
00:01:30.577,,17,154,1043,-3010,70,-1750,129,-304,-948
00:01:30.596,,20,151,1039,-2520,-280,-1820,127,-313,-948
00:01:30.614,,20,153,1037,-2310,-630,-1610,126,-313,-936
00:01:30.633,,17,150,1037,-2800,-910,-1330,126,-313,-940
00:01:30.651,,17,152,1045,-2660,-980,-1260,124,-313,-939
00:01:30.670,,19,155,1048,-2800,-1120,-1330,129,-316,-945
00:01:30.689,,19,152,1049,-3080,-1050,-1260,129,-307,-940
00:01:30.707,,18,152,1051,-3010,-910,-1260,124,-312,-943
00:01:30.726,,16,154,1050,-2660,-840,-1190,130,-313,-943
00:01:30.744,,17,155,1054,-2450,-840,-1190,132,-301,-942
00:01:30.763,,20,150,1053,-2520,-840,-1330,126,-310,-940
00:01:30.782,,21,148,1054,-2100,-840,-1330,121,-312,-942
00:01:30.800,,17,152,1049,-1750,-840,-1050,120,-312,-939
00:01:30.819,,17,155,1049,-1470,-840,-770,130,-313,-949
00:01:30.837,,17,161,1049,-1190,-630,-770,132,-313,-946
00:01:30.856,,16,160,1051,-1540,-350,-980,135,-307,-949
00:01:30.875,,18,153,1051,-1820,-420,-1260,135,-307,-949
00:01:30.893,,20,155,1046,-1260,-490,-1330,127,-313,-939
00:01:30.912,,19,159,1043,-1120,-490,-1120,124,-312,-946
00:01:30.930,,15,157,1040,-1540,-700,-1050,126,-312,-943
00:01:30.949,,12,159,1042,-1120,-1120,-1120,132,-313,-943
00:01:30.968,,15,165,1043,-630,-1680,-1470,133,-313,-942
00:01:30.986,,18,164,1044,-700,-1890,-1820,124,-304,-943
00:01:31.005,,17,161,1048,-1120,-1820,-2030,126,-316,-945
00:01:31.023,,16,156,1051,-1260,-1890,-1960,126,-312,-949
00:01:31.042,,22,158,1047,-840,-1890,-1890,121,-312,-936
00:01:31.060,,22,157,1051,-280,-1540,-1750,123,-315,-942
00:01:31.079,,22,158,1056,70,-1190,-1750,132,-310,-939
00:01:31.098,,22,161,1050,-350,-980,-1750,115,-312,-949
00:01:31.116,,19,158,1044,-910,-700,-1540,121,-313,-940
00:01:31.135,,15,155,1043,-1050,-630,-1330,127,-315,-943
00:01:31.153,,19,156,1040,-910,-840,-1190,121,-316,-943
00:01:31.172,,22,158,1040,-980,-700,-1120,118,-310,-943
00:01:31.191,,20,156,1041,-1610,-630,-1120,124,-316,-943
00:01:31.209,,16,154,1039,-1890,-910,-910,123,-313,-946
00:01:31.228,,18,160,1040,-1610,-1260,-630,127,-309,-946
00:01:31.246,,17,167,1044,-1470,-1400,-560,124,-313,-945
00:01:31.265,,20,169,1044,-1960,-1330,-980,123,-315,-945
00:01:31.284,,19,165,1045,-2660,-1050,-1190,124,-316,-943
00:01:31.302,,17,160,1052,-2660,-910,-910,127,-319,-940
00:01:31.321,,19,167,1050,-2100,-980,-910,124,-310,-942
00:01:31.339,,18,171,1049,-2240,-980,-980,124,-312,-943
00:01:31.358,,21,165,1051,-2730,-1050,-1330,124,-312,-943
00:01:31.377,,20,165,1048,-2310,-980,-1470,121,-312,-940
00:01:31.395,,19,168,1049,-1890,-770,-1260,123,-312,-949
00:01:31.414,,21,167,1049,-2030,-840,-1400,127,-304,-942
00:01:31.432,,19,169,1048,-1820,-840,-1540,121,-309,-945
00:01:31.451,,20,170,1043,-2030,-840,-1610,124,-315,-945
00:01:31.470,,16,169,1037,-2310,-560,-1610,124,-315,-945
00:01:31.488,,12,165,1036,-2380,-560,-1680,126,-316,-949
00:01:31.507,,12,169,1032,-2100,-1120,-1680,121,-310,-939
00:01:31.525,,13,167,1033,-2170,-1820,-1960,130,-316,-946
00:01:31.544,,15,166,1035,-2380,-2450,-2240,121,-316,-948
00:01:31.562,,21,160,1034,-2590,-2730,-2380,114,-307,-946
00:01:31.581,,20,163,1040,-2450,-2660,-2240,124,-313,-945
00:01:31.600,,24,159,1039,-3220,-2590,-2170,124,-318,-946
00:01:31.618,,24,159,1039,-3220,-2590,-1960,121,-312,-943
00:01:31.637,,27,155,1037,-3710,-2380,-1960,130,-307,-942
00:01:31.655,,22,153,1047,-3640,-2100,-1400,127,-312,-948
00:01:31.674,,23,150,1051,-3080,-2450,-910,124,-307,-945
00:01:31.693,,25,162,1054,-1960,-2380,-840,120,-310,-946
00:01:31.711,,25,165,1050,-2170,-2100,-1050,123,-316,-940
00:01:31.730,,25,162,1049,-3010,-1540,-980,129,-310,-940
00:01:31.748,,22,160,1054,-2940,-840,-560,126,-312,-946
00:01:31.767,,21,161,1056,-2520,-700,-490,117,-309,-937
00:01:31.786,,22,164,1051,-2240,-770,-630,130,-318,-949
00:01:31.804,,23,161,1047,-2240,-700,-700,118,-306,-945
00:01:31.823,,23,163,1044,-2240,-560,-770,132,-307,-945
00:01:31.841,,21,163,1043,-2240,-350,-700,121,-313,-945
00:01:31.860,,18,164,1041,-2660,-350,-560,120,-322,-943
00:01:31.879,,18,163,1042,-2800,-630,-560,124,-310,-940
00:01:31.897,,17,164,1044,-2100,-1190,-700,126,-310,-945
00:01:31.916,,17,170,1047,-1750,-1820,-1120,117,-312,-948
00:01:31.934,,24,169,1050,-2100,-2100,-1470,127,-312,-946
00:01:31.953,,24,165,1052,-2380,-1820,-1470,126,-312,-942
00:01:31.972,,23,168,1049,-2100,-1260,-1190,126,-319,-945
00:01:31.990,,20,170,1054,-2170,-770,-1120,121,-312,-951
00:01:32.009,,19,163,1048,-2660,-980,-1470,120,-304,-942
00:01:32.027,,25,159,1047,-2380,-1190,-1680,126,-315,-945
00:01:32.046,,26,158,1045,-2100,-1400,-1680,123,-301,-948
00:01:32.064,,22,161,1046,-1960,-1540,-1470,126,-312,-942
00:01:32.083,,27,157,1041,-1960,-1680,-1400,126,-312,-942
00:01:32.102,,30,159,1040,-1750,-1470,-1400,132,-312,-934
00:01:32.120,,30,160,1038,-2030,-980,-1190,126,-315,-940
00:01:32.139,,27,159,1037,-2310,-630,-840,121,-309,-936
00:01:32.157,,24,160,1037,-2380,-630,-910,129,-313,-948
00:01:32.176,,20,162,1035,-2310,-1050,-910,126,-313,-942
00:01:32.195,,18,163,1036,-2170,-1400,-840,123,-310,-940
00:01:32.213,,20,166,1046,-1890,-1820,-980,118,-306,-942
00:01:32.232,,21,163,1047,-2170,-1890,-1190,129,-312,-946
00:01:32.250,,24,161,1054,-2590,-1610,-1190,124,-309,-946
00:01:32.269,,25,155,1056,-2730,-1330,-980,127,-312,-940
00:01:32.288,,24,160,1054,-2030,-1050,-840,121,-315,-954
00:01:32.306,,18,162,1052,-1960,-980,-700,126,-306,-945
00:01:32.325,,18,162,1054,-2100,-1050,-630,118,-301,-948
00:01:32.343,,24,162,1053,-1750,-1120,-910,120,-316,-951
00:01:32.362,,24,167,1045,-1680,-910,-1120,127,-312,-943
00:01:32.381,,21,163,1049,-2170,-560,-700,123,-303,-951
00:01:32.399,,20,161,1050,-1960,-420,-420,121,-312,-942
00:01:32.418,,23,170,1046,-1260,-350,-630,130,-315,-942
00:01:32.436,,20,168,1042,-1680,-350,-770,123,-310,-943
