Sensors' Acquisition [Hz]: Acc@52.0 Gyro@52.0 Mag@52.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ, GyroX [mdps], GyroY, GyroZ, MagX [mgauss], MagY, MagZ
18:49:07.435,,-248,-125,1023,-4550,840,-3080,-126,177,-460
18:49:07.454,,-250,-139,1010,-4760,1540,-3150,-126,178,-448
18:49:07.473,,-255,-148,1006,-4550,910,-2590,-130,171,-456
18:49:07.492,,-263,-146,1005,-4270,-560,-2030,-123,174,-454
18:49:07.511,,-267,-138,1012,-3710,-2310,-1330,-124,171,-459
18:49:07.529,,-271,-122,1023,-3010,-3640,-700,-118,172,-453
18:49:07.548,,-278,-106,1039,-2870,-4550,-560,-123,171,-450
18:49:07.567,,-282,-96,1051,-2520,-5110,-770,-130,168,-447
18:49:07.586,,-284,-90,1060,-1260,-5040,-1120,-115,168,-445
18:49:07.605,,-280,-85,1070,-350,-4620,-1610,-121,168,-447
18:49:07.623,,-273,-85,1070,140,-3640,-1960,-126,169,-448
18:49:07.642,,-265,-91,1070,280,-2450,-2450,-123,172,-457
18:49:07.661,,-260,-95,1071,1190,-1680,-2800,-124,172,-456
18:49:07.680,,-256,-99,1069,2870,-1260,-2730,-126,177,-450
18:49:07.699,,-250,-101,1068,4900,-1050,-2100,-127,172,-459
18:49:07.717,,-246,-98,1061,6930,-350,-1820,-132,171,-453
18:49:07.736,,-244,-91,1052,7910,980,-1960,-123,171,-451
18:49:07.755,,-241,-92,1040,7560,2660,-2450,-132,174,-451
18:49:07.774,,-239,-98,1026,6370,4340,-3360,-132,177,-448
18:49:07.792,,-246,-104,1012,5180,5530,-4340,-130,172,-441
18:49:07.811,,-253,-115,1003,3920,5740,-4970,-126,166,-450
18:49:07.830,,-257,-127,992,2940,5040,-5040,-130,177,-444
18:49:07.849,,-261,-131,986,2240,4060,-4760,-132,174,-447
18:49:07.868,,-266,-137,989,1120,3010,-3920,-132,181,-448
18:49:07.886,,-272,-142,989,-70,1610,-3010,-132,178,-456
18:49:07.905,,-278,-141,993,-560,350,-1890,-132,177,-453
18:49:07.924,,-280,-132,999,-1050,-980,-700,-135,178,-457
18:49:07.943,,-278,-122,1009,-1400,-1890,700,-127,177,-450
18:49:07.962,,-272,-108,1020,-1610,-2170,1820,-133,175,-454
18:49:07.980,,-264,-99,1030,-2240,-1750,2450,-133,180,-453
18:49:07.999,,-259,-94,1042,-2940,-980,2660,-133,180,-453
18:49:08.018,,-253,-91,1046,-2870,-70,2870,-133,181,-456
18:49:08.037,,-246,-80,1049,-1820,980,3080,-130,169,-457
18:49:08.056,,-242,-71,1044,-630,2240,3080,-129,174,-444
18:49:08.074,,-238,-61,1034,630,3570,2730,-144,174,-445
18:49:08.093,,-235,-58,1022,1540,5110,2030,-135,175,-453
18:49:08.112,,-237,-64,1009,1470,6300,840,-126,181,-456
18:49:08.131,,-243,-73,999,1260,6720,-560,-132,181,-460
18:49:08.149,,-249,-84,985,1820,6440,-1960,-135,184,-460
18:49:08.168,,-252,-87,971,2870,5880,-2870,-136,180,-451
18:49:08.187,,-255,-88,960,3220,5600,-3500,-130,181,-453
18:49:08.206,,-263,-90,947,2590,5460,-4060,-138,177,-456
18:49:08.225,,-273,-101,941,1610,5180,-4760,-127,186,-445
18:49:08.243,,-283,-111,932,350,4480,-5320,-130,181,-448
18:49:08.262,,-291,-126,932,-910,3150,-5390,-132,177,-450
18:49:08.281,,-293,-138,939,-1960,1120,-4900,-136,186,-456
18:49:08.300,,-295,-136,949,-2310,-1120,-3710,-139,189,-460
18:49:08.319,,-293,-130,967,-2590,-3150,-2100,-123,181,-463
18:49:08.337,,-285,-118,986,-3150,-4620,-1050,-135,180,-457
18:49:08.356,,-283,-107,1001,-3710,-5460,-490,-138,187,-459
18:49:08.375,,-277,-100,1021,-4060,-5740,-560,-133,193,-460
18:49:08.394,,-272,-94,1036,-3710,-5600,-980,-133,187,-459
18:49:08.413,,-264,-89,1042,-2800,-4760,-1330,-129,180,-459
18:49:08.431,,-259,-86,1042,-2240,-3150,-1540,-139,180,-457
18:49:08.450,,-260,-90,1039,-1890,-1120,-1750,-129,181,-456
18:49:08.469,,-265,-96,1034,-1400,630,-2240,-127,177,-448
18:49:08.488,,-266,-109,1019,-980,1750,-2730,-135,181,-457
18:49:08.507,,-269,-117,1010,-350,2310,-2520,-126,177,-453
18:49:08.525,,-275,-120,1002,-210,2450,-1750,-126,183,-450
18:49:08.544,,-278,-117,995,280,2100,-630,-127,187,-456
18:49:08.563,,-280,-104,993,1330,1750,70,-145,184,-460
18:49:08.582,,-278,-94,990,1890,1610,70,-138,190,-454
18:49:08.601,,-280,-89,981,1610,1820,-210,-133,183,-453
18:49:08.619,,-279,-91,977,910,1960,-630,-130,187,-469
18:49:08.638,,-277,-96,977,210,1680,-1120,-139,187,-462
18:49:08.657,,-272,-102,977,-280,1120,-1750,-139,187,-457
18:49:08.676,,-272,-107,982,-980,560,-2170,-130,190,-459
18:49:08.694,,-273,-110,990,-2170,-280,-2310,-127,183,-457
18:49:08.713,,-271,-111,1000,-2870,-1400,-2240,-141,195,-444
18:49:08.732,,-270,-104,1014,-2800,-2590,-2310,-142,183,-447
18:49:08.751,,-269,-99,1028,-2100,-3570,-2450,-130,187,-453
18:49:08.759,>gest7_left,,,,,,,,,
18:49:08.770,,-269,-90,1036,-1470,-4060,-2940,-136,178,-453
18:49:08.788,,-267,-83,1042,-910,-3780,-3640,-135,189,-453
18:49:08.807,,-267,-83,1044,-700,-2940,-4760,-126,186,-454
18:49:08.826,,-267,-93,1044,-630,-2100,-5880,-138,184,-454
18:49:08.845,,-268,-103,1037,-140,-1470,-6930,-147,186,-460
18:49:08.864,,-270,-107,1028,1050,-1050,-7420,-136,190,-453
18:49:08.882,,-275,-106,1014,2240,-560,-7420,-144,190,-454
18:49:08.901,,-278,-102,1005,2870,0,-7280,-136,189,-460
18:49:08.920,,-278,-100,996,3010,420,-7350,-147,192,-459
18:49:08.939,,-275,-98,988,3080,770,-7770,-139,192,-457
18:49:08.958,,-274,-97,982,2730,980,-8260,-136,192,-460
18:49:08.976,,-275,-91,979,1820,420,-8890,-136,192,-460
18:49:08.995,,-274,-94,978,560,-980,-9590,-142,195,-451
18:49:09.014,,-271,-100,986,-280,-3080,-10500,-145,190,-459
18:49:09.033,,-265,-107,997,70,-5530,-11060,-135,189,-448
18:49:09.051,,-259,-109,1012,560,-7560,-10990,-144,189,-448
18:49:09.070,,-253,-108,1028,1120,-8540,-10430,-139,186,-444
18:49:09.089,,-251,-102,1037,1540,-8260,-10080,-135,184,-450
18:49:09.108,,-252,-102,1041,1260,-7070,-10220,-144,187,-442
18:49:09.127,,-249,-104,1044,700,-5460,-10990,-141,181,-444
18:49:09.145,,-248,-116,1040,280,-3850,-11480,-150,192,-445
18:49:09.164,,-250,-127,1033,0,-2590,-11410,-142,183,-444
18:49:09.183,,-250,-127,1033,-210,-1960,-10710,-145,186,-447
18:49:09.202,,-252,-133,1026,-210,-1960,-10710,-135,196,-448
18:49:09.221,,-258,-139,1020,-210,-1400,-9940,-153,196,-447
18:49:09.239,,-266,-146,1016,280,-1330,-9240,-148,195,-442
18:49:09.258,,-269,-154,1018,280,-1820,-8890,-145,187,-441
18:49:09.277,,-269,-163,1019,420,-2100,-8190,-150,184,-456
18:49:09.296,,-270,-166,1020,490,-1820,-7280,-150,190,-447
18:49:09.314,,-271,-174,1019,0,-1330,-6090,-148,189,-444
18:49:09.333,,-274,-175,1013,-140,-490,-4690,-148,190,-451
18:49:09.352,,-282,-174,1006,-560,280,-2730,-153,186,-447
18:49:09.371,,-283,-172,1006,-560,840,-560,-154,195,-454
18:49:09.390,,-286,-163,1001,-420,980,1330,-154,193,-453
18:49:09.408,,-295,-145,1001,-280,770,2800,-145,189,-451
18:49:09.427,,-311,-141,991,-1470,210,3780,-148,189,-442
18:49:09.446,,-344,-157,984,-3290,-560,4340,-153,192,-438
18:49:09.465,,-380,-203,987,-5600,-1960,4410,-147,192,-456
18:49:09.484,,-421,-284,964,-9870,-3010,4480,-157,190,-448
18:49:09.502,,-470,-424,952,-16940,-3010,7350,-148,184,-453
18:49:09.521,,-457,-593,980,-24640,-3640,15260,-142,186,-457
18:49:09.540,,-394,-769,1038,-25620,-4550,30730,-130,186,-457
18:49:09.559,,-348,-971,996,-25200,-3500,53060,-127,177,-454
18:49:09.578,,-314,-1045,912,-23240,-3920,83370,-112,163,-453
18:49:09.596,,-255,-1055,930,-15820,-7980,121940,-91,163,-457
18:49:09.615,,-162,-946,944,-7070,-15820,161280,-90,144,-453
18:49:09.634,,-80,-772,961,1050,-23380,196560,-84,138,-447
18:49:09.653,,-23,-538,985,11550,-30660,227220,-63,127,-448
18:49:09.672,,53,-331,1007,18690,-35770,249200,-43,115,-444
18:49:09.690,,142,-108,995,18830,-37870,259700,-30,103,-447
18:49:09.709,,215,80,971,11830,-35910,258720,-4,102,-442
18:49:09.728,,261,257,981,2170,-31640,249620,9,99,-439
18:49:09.747,,269,365,999,-7070,-25620,237300,36,85,-439
18:49:09.765,,297,446,1038,-14000,-21840,220570,49,93,-427
